function,source,pin_or_address,active_state,boot_state,connector,notes
OUTPUT_1-16,SN74HCT595,U13-U14.QA-QH,HIGH,OFF,J2-J17,"serial outputs via R1-R16 and Q1-Q16"
SHIFT_DATA,ESP32,GPIO13,SERIAL,LOW,U13.DS,"first output register data"
SHIFT_CLOCK,ESP32,GPIO14,RISING,LOW,U13.SHCP,"clock remains low during boot"
SHIFT_LATCH,ESP32,GPIO16,RISING,LOW,U13.STCP,"latch only after shifting sixteen zero bits"
OUTPUT_ENABLE,ESP32,GPIO26,HIGH,DISABLED,J31,"Q17 pulls both OE low only after safe boot"
I2C_SDA,ESP32,GPIO21,NA,HIGH,J26,"local bus only; keep short"
I2C_SCL,ESP32,GPIO22,NA,HIGH,J26,"local bus only; keep short"
ONEWIRE,ESP32,GPIO27,LOW,HIGH,J27,"DS18B20 with 4.7k pullup"
FLOW_1,ESP32,GPIO32,PULSE,INPUT,J28,"interrupt-capable input with protection"
FLOW_2,ESP32,GPIO33,PULSE,INPUT,J28,"interrupt-capable input with protection"
HARDWARE_ALARM,ESP32,GPIO34,LOW,INPUT,J31,"input-only; aggregated safety state"
ESTOP_FEEDBACK,ESP32,GPIO35,LOW,INPUT,J31,"monitor only; E-stop acts by hardware"
INPUT_1-8,MCP23017,GPA0-GPA7,LOW,ALARM,J18-J25,"optoisolated 24V fail-safe inputs"
SPARE_INPUT_1-8,MCP23017,GPB0-GPB7,LOW,INPUT,J31,"reserved; do not leave floating"
ANALOG_1-4,ADS1115,A0-A3,ANALOG,NA,J30,"0.6-3.0V for 4-20mA across 150ohm"
PH,Atlas EZO,0x63,I2C,NA,J29,"external isolated carrier"
EC,Atlas EZO,0x64,I2C,NA,J29,"external isolated carrier"
IO_EXPANDER,MCP23017,0x20,I2C,NA,PCB,"A0-A2 tied low"
ADC,ADS1115,0x48,I2C,NA,PCB,"ADDR tied GND"
