net,connected_refs,purpose,max_voltage_v,current_class,external_wiring,notes
+24V_IN,"J1.1,D9.1,C9.1,F1.1,J2.1-J9.1",field supply,30,BACKBONE_4A,red,"external branch fuses still required"
GND_24,"J1.2,D9.2,C9.2,Q1.S-Q8.S",field return,0,BACKBONE_4A,black,"single entry; broad plane"
+5V,"DC1.OUT+,U1.5V,U2.VCC,C10.1",logic supply,5.25,POWER_3V3_5V,red,"DC1 is external DIN converter"
+3V3,"U1.3V3,U3.VDD,U12.VDD,R33.1-R40.1",digital/ADC supply,3.45,POWER_3V3_5V,orange,"decouple each IC"
GND,"DC1.OUT-,U1.GND,U2.GND,U3.GND,U12.VSS",logic return,0,POWER_3V3_5V,black,"join field return at controlled star point"
OUTPUT_ENABLE,"U1.GPIO26,R50.1",safe enable command,3.3,SIGNAL,none,"Q9 level shifts to 5V OE domain"
BUFFER_OE,"Q9.C,R49.1,U2.OE1,U2.OE2",buffer enable,5,SIGNAL,none,"pulled high means disabled"
OUT1-OUT8,"U2.Y1-U2.Y8,R1.1-R8.1,Q1.G-Q8.G",MOSFET gates,5,SIGNAL,none,"R9-R16 pulldown at each gate"
LOAD1-_LOAD8-,"Q1.D-Q8.D,D1.1-D8.1,J2.2-J9.2",switched low sides,30,OUTPUT_1A,black,"flyback diode to +24V"
I2C_SDA,"U1.GPIO21,U3.SDA,U12.SDA,J18.1,J21.1",local sensor data,3.3,I2C_1WIRE,shielded,"no long greenhouse cable"
I2C_SCL,"U1.GPIO22,U3.SCL,U12.SCL,J18.2,J21.2",local sensor clock,3.3,I2C_1WIRE,shielded,"no long greenhouse cable"
ONEWIRE,"U1.GPIO27,J19.1",temperature probe bus,3.3,I2C_1WIRE,shielded,"local pullup required"
DIN1-DIN8,"U4.C-U11.C,U12.GPA0-U12.GPA7,R33.2-R40.2",isolated inputs,3.3,SIGNAL,none,"low indicates closed field loop"
FIELD_IN1+-FIELD_IN8+,"J10.1-J17.1,R17.1-R31.1",24V field inputs,24,POWER_24V_LOGIC,blue,"two 2.2k resistors in series per channel"
FIELD_IN1--FIELD_IN8-,"J10.2-J17.2,U4.K-U11.K",field input returns,0,POWER_24V_LOGIC,blue,"isolated from logic side"
AIN1-AIN4,"J22.1-J22.4,R41.1-R44.1,R45.1-R48.1",4-20mA sense,3.0,SIGNAL,shielded,"150ohm shunt plus RC/clamp"
