channel,function,load_type,nominal_supply,direct_or_external,safe_state,required_feedback,interlock
OUT01,dosing_ph_down,peristaltic_pump,12VDC,mosfet_module,OFF,calibrated_delivery,"one_dosing_pump_at_a_time; ph_plus_minus_mutual_exclusion; timeout; dose_budget"
OUT02,dosing_nutrient_1,peristaltic_pump,12VDC,mosfet_module,OFF,calibrated_delivery,"one_dosing_pump_at_a_time; timeout; dose_budget"
OUT03,dosing_nutrient_2,peristaltic_pump,12VDC,mosfet_module,OFF,calibrated_delivery,"one_dosing_pump_at_a_time; timeout; dose_budget"
OUT04,dosing_nutrient_3,peristaltic_pump,12VDC,mosfet_module,OFF,calibrated_delivery,"one_dosing_pump_at_a_time; timeout; dose_budget"
OUT05,dosing_nutrient_4,peristaltic_pump,12VDC,mosfet_module,OFF,calibrated_delivery,"one_dosing_pump_at_a_time; timeout; dose_budget"
OUT06,dosing_ph_up,peristaltic_pump,12VDC,mosfet_module,OFF,calibrated_delivery,"one_dosing_pump_at_a_time; ph_plus_minus_mutual_exclusion; timeout; dose_budget"
OUT07,mixing_pump,water_pump,12VDC,relay_active_low,OFF,operator_observation,"minimum_level; leak; local_stop; timeout"
OUT08,irrigation_pump,water_pump,12VDC,relay_active_low,OFF,level_change_or_observation,"minimum_level; drain_mutual_exclusion; leak; timeout"
OUT09,drain_pump,water_pump,12VDC,relay_active_low,OFF,level_change_or_observation,"irrigation_mutual_exclusion; leak; timeout"
OUT10,exhaust,fan_or_external_switch,LOCAL_LOAD,relay_active_low,OFF,temperature_humidity_response,"sensor_quality; hysteresis; anti_cycle; timeout"
OUT11,humidifier,external_appliance,LOCAL_LOAD,relay_active_low,OFF,humidity_response,"sensor_quality; exhaust_priority; leak; timeout"
OUT12,auxiliary,reserved,12VDC,relay_active_low,OFF,none,"firmware_locked_until_documented"
